Date,Description,Category,Amount,Merchant
2025-05-10,Weekly Groceries,food,126.45,Whole Foods
2025-05-12,Gas Station,transportation,52.60,Shell
2025-05-14,Electricity Bill,utilities,87.30,City Power Inc
2025-05-15,Lunch with colleagues,food,34.25,Chipotle
2025-05-16,Movie Night,entertainment,48.99,AMC Theatres
2025-05-18,Healthcare Checkup,healthcare,135.00,City Medical Center
2025-05-20,Online Shopping,shopping,156.78,Amazon
2025-05-22,Monthly Rent,housing,1450.00,Parkside Apartments
2025-05-24,Public Transport,transportation,25.00,Metro Transit
2025-05-25,Phone Bill,utilities,65.99,Verizon
2025-05-27,Dinner Date,food,78.50,Olive Garden
2025-05-29,Books,education,42.35,Barnes & Noble
